book_name,chapter_id_x,entry_id_x,date_x,sentence,Positive_score,Negative_score,Neutral_score,chapter_id_y,entry_id_y,date_y,positive,negative,neutral,immigration,positiveness_rank,negativeness_rank
SofS,c01,chc01_e1,"April 30, 1847","When Grandda told me all the stories he had about fairies and pookas and banshees, and about the ancients, such as the great Cuchulain, he said that stories hold a people together.",0.058022134132110485,0.0211366924114615,0.9983068516398214,,,,,,,,988.0,1743.0
SofS,c01,chc01_e1,"April 30, 1847","I wonder what he would think if he were still here, for Da says that this great trouble we are in is tearing our people apart.",0.6508630732778319,0.8158187351224075,0.016076869450275706,,,,,,,,146.0,201.0
SofS,c01,chc01_e1,"April 30, 1847",It has sent many to their deaths and now it drives us from our home.,0.23725112548172922,0.9828299158667444,0.15261089270736333,,,,,,,,445.0,39.0
SofS,c01,chc01_e1,"April 30, 1847",That is why I have decided to write down our story.,0.32939093045565654,0.047314583323237784,0.9748195025353249,,,,,,,,356.0,1391.0
SofS,c01,chc01_e1,"April 30, 1847",I want to write about what is happening to us and what will happen next.,0.2466359263269589,0.09107368567670193,0.9826629104665798,,,,,,,,438.0,1079.0
SofS,c01,chc01_e1,"April 30, 1847","Tomorrow we leave, and Da says we may never return.",0.5682656814592336,0.8739418230698933,0.02767608505975075,,,,,,,,184.0,158.0
SofS,c01,chc01_e1,"April 30, 1847","He and Ma, Michael, wee Patrick and I are to walk to Dublin, where we will take a steamer to Liverpool in England.",0.9575599339663198,0.9216244168152786,0.1257269460860454,,,,,,,,21.0,124.0
SofS,c01,chc01_e1,"April 30, 1847",He says it is our only hope.,0.4969058170624411,0.2696944469405807,0.4209380241751156,,,,,,,,232.0,607.0
SofS,c01,chc01_e1,"April 30, 1847","Even in spite of this, Ma is sad to leave.",0.1173067144916571,0.5222541679137079,0.9010761815341278,,,,,,,,696.0,374.0
SofS,c01,chc01_e1,"April 30, 1847","She says, how can we think of making a fresh start in a new land, Canada, when we have to rely on charity to get ourselves there?",0.9500194648201044,0.9544405620102561,9.533097438249067e-06,,,,,,,,24.0,92.0
SofS,c01,chc01_e1,"April 30, 1847","She says, if anything happens, what will become of us without friends and neighbours close by?",0.04047818888526878,0.7289511657457458,0.8423274556087318,,,,,,,,1152.0,243.0
SofS,c01,chc01_e1,"April 30, 1847",Da reminds her that his bother Liam is in Canada and will surely help us.,0.825476646651215,0.6443566267815645,0.013273327427800371,,,,,,,,90.0,299.0
SofS,c01,chc01_e1,"April 30, 1847","I barely remember him, I was so small when he left.",0.048720114815890656,0.5905962363482201,0.2698151262993413,,,,,,,,1062.0,334.0
SofS,c01,chc01_e1,"April 30, 1847","For myself, I think of Anna going out there last year with her family.",0.056619081937691204,0.05951417896016858,0.9780988993257407,,,,,,,,993.0,1282.0
